2285;D;BANI;Bologna;5
50;D;MBAYE;Bologna;5
4422;D;TOMIYASU;Bologna;5
4373;D;MATEJU;Brescia;5
106;D;MATTIELLO;Cagliari;5
1876;D;PAJAC;Genoa;5
2279;D;ROMAGNA;Sassuolo;5
1891;D;CECCHERINI;Fiorentina;5
244;D;GHIGLIONE;Genoa;5
2241;D;LUCIONI;Lecce;5
54;D;ROSSETTINI;Lecce;5
11;D;CONTI;Milan;5
550;D;MAKSIMOVIC;Napoli;5
142;D;MARIO RUI;Napoli;5
144;D;TONELLI;Napoli;5
256;D;JUAN JESUS;Roma;5
2104;D;BERESZYNSKI;Sampdoria;5
45;D;FERRARI A;Sampdoria;5
770;D;PEZZELLA GIU;Parma;5
2870;D;TROOST-EKONG;Udinese;5
4493;D;DAWIDOWICZ;Verona;5
581;D;FARAONI;Verona;5
2758;D;GUNTER;Verona;5
4409;D;RRAHMANI;Verona;5
423;D;RISPOLI;Lecce;5
4519;D;CETIN;Roma;5
4521;D;MULDUR;Sassuolo;5
2741;C;PESSINA;Verona;5
4384;C;JAGIELLO;Genoa;5
2771;C;BERISHA V;Lazio;5
333;C;CATALDI;Lazio;5
2188;C;MARUSIC;Lazio;5
4475;C;MAJER;Lecce;5
4400;C;SHAKHOV;Lecce;5
241;C;TACHTSIDIS;Lecce;5
2187;C;BORINI;Milan;5
235;C;LAXALT;Torino;5
494;C;BARRETO;Sampdoria;5
4404;C;THORSBY;Sampdoria;5
1995;C;DJURICIC;Sassuolo;5
528;C;MAGNANELLI;Sassuolo;5
4498;C;HENDERSON L;Verona;5
430;C;BRUGMAN;Parma;5
2334;C;LERIS;Sampdoria;5
4522;C;AMRABAT;Verona;5
4524;C;SEMA;Udinese;5
272;C;MEDEL;Bologna;5
306;A;CERRI;Cagliari;5
819;A;FAVILLI;Genoa;5
658;A;FALCO;Lecce;5
505;A;BONAZZOLI;Sampdoria;5
2853;A;MONCINI;SPAL;5
282;P;BUFFON;Juventus;4
2739;D;RECA;SPAL;4
2653;D;LYKOGIANNIS;Cagliari;4
1869;D;PISACANE;Cagliari;4
2174;D;VENUTI;Fiorentina;4
2120;D;BASTONI;Inter;4
2289;D;DALBERT;Fiorentina;4
4472;D;MECCARIELLO;Lecce;4
1847;D;CALDARA;Milan;4
640;D;CHIRICHES;Sassuolo;4
139;D;DERMAKU;Parma;4
2801;D;IACOPONI;Parma;4
4421;D;AUGELLO;Sampdoria;4
4403;D;CHABOT;Sampdoria;4
630;D;SALA;SPAL;4
517;D;DELL'ORCO;Lecce;4
418;D;GOLDANIGA;Genoa;4
521;D;PELUSO;Sassuolo;4
2788;D;BREMER;Torino;4
2280;D;NUYTINCK;Udinese;4
2795;D;TER AVEST;Udinese;4
4494;D;EMPEREUR;Verona;4
4496;D;VITALE L;Verona;4
169;D;TOMOVIC;SPAL;4
287;D;CACERES;Fiorentina;4
4529;D;ANKERSEN;Genoa;4
4393;C;SCHOUTEN;Bologna;4
1872;C;DESSENA;Brescia;4
2116;C;FARAGO';Cagliari;4
2290;C;EYSSERIC;Fiorentina;4
2804;C;SCOZZARELLA;Parma;4
405;C;VALDIFIORI;SPAL;4
434;C;JAJALO;Udinese;4
81;C;DI GAUDIO;Verona;4
4515;C;AGUDELO;Genoa;4
2146;A;HAN;Juventus;4
2839;A;SOTTIL;Fiorentina;4
2841;A;VLAHOVIC;Fiorentina;4
